names,scores,logfoldchanges,pvals,pvals_adj,-log10(pvals)
CST6,64.36361,2.03829,0.0,0.0,325.0
VIM,49.56979,2.184246,0.0,0.0,325.0
FSTL3,41.283615,2.0550942,0.0,0.0,325.0
MAP1B,23.53138,2.0913944,1.9475103424403833e-122,6.345170836925817e-121,120.1975566804983
TSPAN2,21.506937,2.1219697,1.340717765362408e-102,3.78893951942902e-101,100.42148232705223
TGFB1I1,16.270166,2.0061128,1.6072146886590274e-59,2.9984236956805647e-58,57.5231069986743
CDA,14.958389,2.621178,1.373090947002401e-50,2.2368293619558e-49,48.6503671450887
NEXN,12.699804,2.1069582,5.9277925394615094e-37,7.400548714841161e-36,35.130736078242954
SPOCK2,12.51972,2.0872743,5.8239932159357517e-36,7.090163784050816e-35,34.149343732420895
PPBP,12.338779,2.2041306,5.599800874275109e-35,6.664940396681576e-34,33.17620373004728
PDGFB,10.579739,2.3828669,3.6998877487153555e-26,3.603412181074122e-25,24.443286057686585
WNT7A,10.414732,2.6630836,2.1239481923576656e-25,2.0207626840629784e-24,23.694484686511213
KRTAP2-3,9.97754,2.6860268,1.9114654251131946e-23,1.7209839053640913e-22,21.764223191174036
KRT81,9.901443,2.1277542,4.103119172641627e-23,3.6614780203154226e-22,21.436343568569157
SERPINE2,9.39853,2.0479832,5.5330507583464864e-21,4.642483301873395e-20,19.333249649659756
ANXA8L1,9.347482,2.0051951,8.97594625696928e-21,7.4792670857865e-20,19.126140957776407
INHBA,9.061357,2.1364672,1.2883769438150413e-19,1.034527851826661e-18,17.985257812652375
RFLNB,8.751266,2.01762,2.1097395365652487e-18,1.6112112860404503e-17,16.792847504680275
PAPPA,7.799951,2.1213787,6.193127640143906e-15,4.184576919105067e-14,13.378348444716442
TRBC2,7.796756,3.0996125,6.35189721620519e-15,4.2886551647989946e-14,13.367678872400617
TREM2,7.3860135,2.0314448,1.5129643361837572e-13,9.61324059977859e-13,12.017130188048002
ESM1,7.239123,2.090196,4.515962136963687e-13,2.80736630443024e-12,11.551700917036499
CSF2,7.0421214,2.606144,1.8933480860840493e-12,1.1402260830921726e-11,10.943009028571812
THSD7A,6.8217998,2.5268478,8.990704801892902e-12,5.240238657860036e-11,10.28064893335379
