names,scores,logfoldchanges,pvals,pvals_adj,logfoldchanges_secretory
FJX1,18.083998,2.447459,4.260399289416366e-73,8.840450530100512e-72,0.47205365
PCED1B,4.0821557,1.9842262,4.461987232722824e-05,0.00017124766678130074,0.46509427
PARVB,2.7714972,3.2303047,0.005579914928327407,0.016573234780562548,0.4004569
PLCXD2,11.492282,2.292961,1.442504683192618e-30,1.5407412933982476e-29,0.3853149
MEX3B,3.6418064,2.4670563,0.0002707316581438012,0.0009584803085941146,0.37696424
ZBED2,2.7977023,2.3597233,0.005146752721274134,0.015387592927196063,0.3696365
PHLDA1,45.703056,2.490654,0.0,0.0,0.36447304
TMC7,9.957803,2.6514623,2.331591232010932e-23,2.0940394232958867e-22,0.32139766
SLC38A5,30.809858,2.8923311,1.933534379778132e-208,9.811197560134696e-207,0.30305034
TPM2,75.587906,3.083234,0.0,0.0,0.29499447
PAMR1,8.010057,4.256015,1.1465453660441027e-15,7.997562304924498e-15,0.28762308
ARSI,5.817568,2.9873555,5.9710012968879014e-09,3.050329624735599e-08,0.2858908
KRTAP19-1,3.4020104,4.4225025,0.000668920953821101,0.002258200350068812,0.27701038
TGFB1I1,26.1504,2.8678071,9.752438359380746e-151,3.6501120016566574e-149,0.22321165
CCDC8,3.1963117,3.0167735,0.0013919663500195365,0.004514047696133889,0.21945253
CAVIN3,30.845224,1.966774,6.491698839728048e-209,3.3032900135301574e-207,0.2145205
MMP13,63.546448,3.5565367,0.0,0.0,0.21136826
FHL1,9.156146,2.767147,5.378376414148646e-20,4.314848925699855e-19,0.13548745
NHLH2,2.625486,3.2378154,0.008652537530335937,0.02487947894635484,0.117931366
PRKCQ,2.2312992,2.469219,0.025661323281936353,0.06747784457138584,0.111329235
PDLIM4,42.97239,1.6303754,0.0,0.0,0.10448568
FLRT2,10.254222,3.685444,1.132849713195933e-24,1.0540098898071046e-23,0.08768594
AXL,11.208855,2.3211968,3.689374932973366e-29,3.8255882604929898e-28,0.05040959
LGALS1,72.67923,3.5616457,0.0,0.0,0.044322737
G0S2,10.704672,1.8432224,9.677317945131212e-27,9.394673878673735e-26,0.02216396
TLL2,2.4590876,2.9263103,0.013929060755770136,0.03848763508096034,0.0012895982
MARVELD1,25.239399,2.187039,1.4807182826799867e-140,5.20839061956271e-139,-0.019669257
PTHLH,24.439585,3.1208436,6.494197350065122e-132,2.1948206156050317e-130,-0.020609003
HAS2,13.3016,2.7716098,2.2656595780799193e-40,2.9400016659683194e-39,-0.025545519
ANXA8,26.163456,1.8334656,6.927752798279853e-151,2.59826587869233e-149,-0.0421316
RASD2,3.367683,2.8588006,0.000758027025619554,0.002540547561350272,-0.07656338
RFLNB,17.742208,4.2259564,1.9799761996560683e-70,3.9501397419349867e-69,-0.08954697
SUGCT,10.313009,2.4757965,6.15436193126685e-25,5.7585881397158564e-24,-0.114167765
ANXA8L1,11.475581,1.8554226,1.7499836540863947e-30,1.8636657197986503e-29,-0.120042056
COMP,20.76809,3.8304722,8.413925749642636e-96,2.180518811942437e-94,-0.14687261
SDK2,13.960831,2.7089477,2.7026516834068126e-44,3.783503496515796e-43,-0.15874574
ITGA4,1.8429117,3.849313,0.06534189438077548,0.15677727373612554,-0.17196757
MMP1,5.275104,3.2784085,1.3268081728605766e-07,6.229945580966652e-07,-0.1809553
NID1,16.325325,2.8966696,6.519207521523693e-60,1.1566644882703398e-58,-0.20006737
GSDME,14.544824,1.8647316,6.299338612696072e-48,9.322918216420698e-47,-0.25231165
PALMD,66.58125,2.4798973,0.0,0.0,-0.26016867
CPA4,20.295456,2.8351276,1.4103829727882163e-91,3.5633315972187644e-90,-0.2749714
PROCR,8.363157,2.6451871,6.106197565153944e-17,4.454843692821735e-16,-0.2826192
TNS4,25.410849,1.44287,1.913559636238933e-142,6.837107063208732e-141,-0.28577143
EMP3,25.020641,1.8204634,3.645135661455028e-138,1.2698390866780351e-136,-0.29157844
PRKG2,2.8737812,1.6667129,0.004055897276807703,0.012302843129499587,-0.30334324
GJA1,46.782856,2.5684373,0.0,0.0,-0.32385695
IL11,2.5584962,2.1872842,0.010512598937017453,0.029672129907147266,-0.35113034
CD109,45.13499,1.815842,0.0,0.0,-0.37756157
SFN,72.3275,1.7882704,0.0,0.0,-0.3868917
MROH2A,6.6250215,3.8641474,3.471971945205246e-11,1.988453107410466e-10,-0.40165007
SPARC,22.245821,3.807451,1.2380478694809072e-109,3.554237267138928e-108,-0.4610537
THSD1,11.559411,3.184461,6.6161350874081e-31,7.129761279500163e-30,-0.5161959
CRLF1,22.284184,3.0358298,5.2606740048130546e-110,1.5150573862828059e-108,-0.535925
FEZ1,22.772415,3.5411024,8.607034449585664e-115,2.5728783672317542e-113,-0.6227169
S100A2,96.53355,3.0201569,0.0,0.0,-0.62751156
CAV1,64.5563,2.5669348,0.0,0.0,-0.63210094
KIRREL1,7.364403,2.1162095,1.7794194978253055e-13,1.139419731463606e-12,-0.64100534
SOX7,8.131382,1.4088027,4.2442395045504877e-16,3.004470442553032e-15,-0.6656945
FLRT3,17.198261,2.4066439,2.736206252046243e-66,5.195636924089905e-65,-0.72896117
MMP10,17.500057,2.5843177,1.4312711970797354e-68,2.7939092386960567e-67,-0.8118694
PTPRQ,3.639557,2.4357972,0.0002731077132266445,0.0009662785595899736,-0.8416582
LOXL4,41.347893,2.5130246,0.0,0.0,-0.8567378
FGF1,5.302153,2.073189,1.1444486977217251e-07,5.398877124799232e-07,-0.8609219
SERPINE2,16.431654,2.560795,1.1351992811892153e-60,2.0220388376344775e-59,-0.92785
HTR7,6.205709,2.9666388,5.445084721764825e-10,2.932155461794584e-09,-0.93725663
TSPAN7,3.0502658,1.7511036,0.002286388822769417,0.0071868702974957465,-0.9425898
CAVIN1,43.00918,2.4186797,0.0,0.0,-0.9429661
NSG1,25.270275,1.687574,6.781055678145753e-141,2.3898603815099285e-139,-0.9626547
ANXA10,35.6514,3.201619,2.2413688916295376e-278,1.4982434491464603e-276,-0.97902256
DUSP9,3.2734246,3.2842512,0.0010625276648242676,0.003494496849726145,-0.98384064
PLTP,18.327675,1.933017,4.977285323250684e-75,1.054544136031417e-73,-1.0259349
GPNMB,47.300632,2.244711,0.0,0.0,-1.0358117
LZTS1,2.6961288,2.0477173,0.007015053477926561,0.020509634240258173,-1.0557097
ADAMTS15,3.47497,1.9794806,0.0005109104602300232,0.0017498852310582095,-1.0925037
MRC2,34.664753,2.526172,2.677949450326671e-263,1.6902806373751793e-261,-1.1057445
CD44,53.003223,1.5701135,0.0,0.0,-1.1087544
DEPDC7,1.5130918,1.6664346,0.13025633642726142,0.28863529472536276,-1.1358635
ACKR3,32.099392,1.6453303,4.4960088931419326e-226,2.3954470911548857e-224,-1.1531986
GLT8D2,1.9909934,2.7280078,0.04648161724545928,0.11543933320557923,-1.2407769
RASSF10,5.8945303,2.5134015,3.75748709018821e-09,1.9425479063572897e-08,-1.2826697
CSPG4,4.584682,2.9264696,4.546778190609083e-06,1.9185857657322044e-05,-1.30433
SLC1A3,20.784048,2.5291395,6.034855440502105e-96,1.5662092593795936e-94,-1.354483
ANKH,30.498545,2.075762,2.724234503982862e-204,1.3446732435871808e-202,-1.4533237
ANKRD2,2.0386145,2.2777233,0.04148852253524535,0.10423919358196526,-1.4774455
C16orf74,28.12924,1.732957,4.3011563892835995e-174,1.8463376301391563e-172,-1.4874283
DKK3,35.629883,2.4899,4.8287827099626933e-278,3.2159337790799332e-276,-1.4964828
ARHGAP22,12.2476635,2.7785356,1.7290634067175846e-34,2.003965682193797e-33,-1.5235349
IGFBP6,79.348694,3.26595,0.0,0.0,-1.5831987
SPOCK3,15.4524555,2.6808543,7.262376993039536e-54,1.1767259322800643e-52,-1.6198967
HSPB3,3.746094,2.685531,0.00017960933298665852,0.0006499446797949099,-1.6357906
PODNL1,3.5164068,1.209262,0.0004374301416515292,0.0015133779633341197,-1.6417578
MMP28,35.89078,2.0114639,4.254150693827286e-282,2.864830476530903e-280,-1.681372
LCE1C,2.9178553,2.8844037,0.003524478257909079,0.010795726013192926,-1.6987264
TREM2,15.299026,3.1694212,7.761028692493189e-53,1.2343374430598255e-51,-1.6989921
TSLP,39.72628,2.0815191,0.0,0.0,-1.7391113
NUDT11,7.376429,2.697116,1.6259115341342418e-13,1.0440761233903507e-12,-1.7787521
MYLK,7.437764,2.2347221,1.0240378216551556e-13,6.641763386782364e-13,-1.7812033
C1QTNF12,16.887386,2.5187068,5.5717684644920356e-64,1.0330868550079143e-62,-1.8253696
ST6GALNAC2,2.534229,1.3766711,0.011269501790955795,0.03167525600359414,-1.8257719
CA2,6.957708,1.9574617,3.458537240182274e-12,2.0683856753351566e-11,-1.860787
REEP2,3.528827,3.031101,0.0004174057947948357,0.001447416916674665,-1.9669653
MPPED2,8.209444,1.1478972,2.222153537915254e-16,1.5904508628737584e-15,-2.1840608
PDPN,21.148615,2.0701456,2.841643846139436e-99,7.558939540795285e-98,-2.5219657
GAS1,4.880271,1.4834656,1.0594030731497442e-06,4.67619070909055e-06,-2.5278015
LGALS7B,34.379414,1.9179773,5.1213158746215243e-259,3.199056450647204e-257,-2.6778724
LGALS7,45.219906,1.7759515,0.0,0.0,-2.7249844
MAOB,2.572489,2.1873753,0.010097013721576809,0.028637451630869563,-3.8871143
