names,scores,logfoldchanges,pvals,pvals_adj,logfoldchanges_secretory
VIM,49.96658,3.7907445,0.0,0.0,2.9295805
MMP12,4.5984745,3.9390497,4.255953358051847e-06,1.800480968732116e-05,2.7964523
NEXN,14.0621805,3.5439217,6.48564135004388e-45,9.18587905051172e-44,2.566563
ALOX5AP,5.95253,4.890177,2.6402874267575605e-09,1.3807342384663392e-08,2.5444953
NNMT,17.925247,4.062251,7.491805253177682e-72,1.5283113982129923e-70,2.3507671
TINAGL1,70.73928,3.393988,0.0,0.0,2.280965
NDRG4,2.1884677,3.2085524,0.028635546504916023,0.07457345096845223,2.2375715
TOX2,2.5663047,3.0427718,0.010278851939538114,0.029098515843840125,2.152743
KANK4,5.1512375,4.3218894,2.5877294914441254e-07,1.1870529181440955e-06,1.9333295
ROR1,3.4033005,3.3783135,0.0006657703080429914,0.002248821392914188,1.8444693
CD70,6.6936,4.128803,2.1774600866296622e-11,1.2582038108228495e-10,1.8366662
COL4A1,19.95604,3.9906073,1.3282948249590144e-88,3.238500774445834e-87,1.7959608
EPGN,9.426017,3.4324565,4.2595664084131065e-21,3.565713747153578e-20,1.7769345
COL4A2,31.041441,4.1606417,1.488493534132772e-211,7.682068481713723e-210,1.6556408
VCAN,35.481358,4.4042277,9.531076929507618e-276,6.278380311928382e-274,1.631111
ADAM19,6.148223,4.026526,7.835583577265365e-10,4.1870677434266105e-09,1.6041429
ZNF365,8.092289,3.2438233,5.855362254238631e-16,4.122420802002829e-15,1.5343188
TGFBI,27.744558,1.9380276,2.0268792297435953e-169,8.402040559909664e-168,1.5298418
NTM,4.0410705,4.934555,5.3207800197569767e-05,0.00020278966980411876,1.4243032
LOXL2,8.71466,4.0151205,2.9163442984407292e-18,2.216935667908259e-17,1.4140435
SYT1,4.616134,3.867987,3.909542012645105e-06,1.656639849334879e-05,1.3975234
FADS3,18.751646,3.158747,1.8768847420407594e-78,4.146313061227848e-77,1.2770761
SPOCK1,18.943794,4.016677,4.968452212997611e-80,1.1125279584481052e-78,1.1705476
CALD1,74.117516,2.3991125,0.0,0.0,1.1488662
APOE,30.486277,3.4996562,3.9618516316253665e-204,1.9502429974699327e-202,1.1009248
SNCG,25.447536,2.6191812,7.517113164685824e-143,2.6964852470947266e-141,1.0961921
RAC2,39.575188,3.0552073,0.0,0.0,1.0713475
MCAM,16.837923,2.4825125,1.2867551395418004e-63,2.3785274849795624e-62,1.0559766
PKDCC,3.7357545,3.8734891,0.00018715312198106052,0.0006746823491914251,1.0226998
TUBB6,49.446064,2.5330367,0.0,0.0,1.0103886
COL5A2,15.408795,3.019866,1.4284986184567956e-53,2.2961182318850803e-52,1.0103874
FGF5,4.3629813,4.4107385,1.283018096090817e-05,5.1694556963267685e-05,0.9805038
CDH6,48.217804,2.7253764,0.0,0.0,0.94184583
RBP1,69.969215,2.393722,0.0,0.0,0.929654
SRPX,5.91556,4.0735273,3.3074865845446967e-09,1.7167656011182573e-08,0.9204748
S1PR3,8.801303,3.427826,1.352362875483114e-18,1.0358584984937257e-17,0.91750574
CTHRC1,19.322882,3.06806,3.448520263929467e-83,7.907587921655986e-82,0.8849575
AMTN,10.809143,4.5793824,3.115653318507767e-27,3.0657284011280935e-26,0.77109617
NIPAL4,2.3487816,2.9260426,0.018834946954650395,0.050977896919691006,0.72504497
MSN,26.483822,2.0078578,1.4887327498243803e-154,5.677556581698663e-153,0.72485423
AMIGO2,34.772167,3.2706318,6.409904475164593e-265,4.074225247986197e-263,0.691062
FAP,16.209045,4.7048225,4.352734158353477e-59,7.63308608698676e-58,0.6901705
MMP2,37.984688,3.899967,0.0,0.0,0.65026915
MSRB3,5.9851804,2.8506238,2.1614997807360814e-09,1.1339579649010748e-08,0.6391415
IGFBP7,90.39194,3.9354591,0.0,0.0,0.5084179
LAMA3,47.890343,2.7141168,0.0,0.0,0.5034066
PHLDB1,12.898539,2.3677986,4.5871178479319264e-38,5.703201085469241e-37,0.48492283
